Designator,Mid X,Mid Y,Rotation,Layer
C1,160.65,-100.52,90.0,top
C2,161.15,-97.35,270.0,top
C3,149.3,-100.92,90.0,top
C4,148.4,-98.05,270.0,top
C5,136.6,-101.48,90.0,top
C6,136.6,-98.45,270.0,top
D1,168.75,-100.5625,90.0,top
D2,156.7,-99.4375,90.0,top
D3,144.8,-99.4375,90.0,top
J1,156.38,-104.35,90.0,top
J2,156.38,-89.15,90.0,top
R1,168.75,-96.2875,90.0,top
R2,156.7,-95.5125,90.0,top
R3,144.8,-95.5125,90.0,top
U1,165.25,-98.996,0.0,top
U2,152.45,-99.004,0.0,top
U3,140.75,-99.004,0.0,top
